hotel,city,url,price,rating,stars,price_range,lowest_price,highest_price
Lee Garden Bangkok,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d12831059-Reviews-Lee_Garden_Bangkok-Bangkok.html,Как добраться,"3,0","3,0",1 641 руб - 2 006 руб,1 641 руб,2 006 руб
Goody Hotel,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d12917870-Reviews-Goody_Hotel-Bangkok.html,Как добраться,"3,0","2,0",1 003 руб - 1 185 руб,1 003 руб,1 185 руб
Arun Haus 39,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d11984989-Reviews-Arun_Haus_39-Bangkok.html,Как добраться,"3,0",,1 277 руб - 2 918 руб,1 277 руб,2 918 руб
The Corner Ratchada,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d13326705-Reviews-The_Corner_Ratchada-Bangkok.html,Как добраться,"3,0","2,0",1 368 руб - 1 641 руб,1 368 руб,1 641 руб
Platinum Place,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d9697359-Reviews-Platinum_Place-Bangkok.html,Как добраться,"3,0","3,0",1 824 руб - 2 371 руб,1 824 руб,2 371 руб
PDA Lord Hotel,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d13522929-Reviews-PDA_Lord_Hotel-Bangkok.html,Как добраться,"3,0",,1 094 руб - 1 459 руб,1 094 руб,1 459 руб
Arawana Residence Phromphong,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d23320662-Reviews-Arawana_Residence_Phromphong-Bangkok.html,Как добраться,"3,0",,2 006 руб - 2 918 руб,2 006 руб,2 918 руб
S.K,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d6437724-Reviews-S_K_Residence-Bangkok.html,Как добраться,"3,0","2,0",1 824 руб - 3 009 руб,1 824 руб,3 009 руб
Nineplace 46,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d12830261-Reviews-Nineplace_46-Bangkok.html,Как добраться,"3,0","2,0",1 824 руб - 1 915 руб,1 824 руб,1 915 руб
The Resort,Бангкок,https://www.tripadvisor.ru/Hotel_Review-g293916-d7288939-Reviews-The_Resort-Bangkok.html,Как добраться,"3,0",,912 руб - 1 641 руб,912 руб,1 641 руб
